,district,school,hawkercentre,supermarkets
0,1,"['NORTHLIGHT SCHOOL', 'DAMAI SECONDARY SCHOOL', 'CHUNG CHENG HIGH SCHOOL (MAIN)', 'BENDEMEER SECONDARY SCHOOL', 'CHIJ KATONG CONVENT', 'VICTORIA SCHOOL', ""ST. JOSEPH'S INSTITUTION"", 'SCHOOL OF THE ARTS, SINGAPORE', 'QUEENSWAY SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', 'MANJUSRI SECONDARY SCHOOL', 'ANGLICAN HIGH SCHOOL', ""CHIJ ST. THERESA'S CONVENT"", 'TEMASEK SECONDARY SCHOOL', ""CRESCENT GIRLS' SCHOOL"", 'QUEENSTOWN SECONDARY SCHOOL', ""TANJONG KATONG GIRLS' SCHOOL"", 'DUNMAN HIGH SCHOOL', 'GEYLANG METHODIST SCHOOL (SECONDARY)', 'BEDOK VIEW SECONDARY SCHOOL', 'OUTRAM SECONDARY SCHOOL', 'BEDOK GREEN SECONDARY SCHOOL', 'BUKIT MERAH SECONDARY SCHOOL', ""SINGAPORE CHINESE GIRLS' SCHOOL"", 'TANJONG KATONG SECONDARY SCHOOL', ""ST. PATRICK'S SCHOOL"", ""CEDAR GIRLS' SECONDARY SCHOOL"", 'TEMASEK JUNIOR COLLEGE', 'GAN ENG SENG SCHOOL', 'BARTLEY SECONDARY SCHOOL', 'PING YI SECONDARY SCHOOL', 'BROADRICK SECONDARY SCHOOL']",[],[]
0,2,"['QUEENSTOWN SECONDARY SCHOOL', 'GAN ENG SENG SCHOOL', 'SCHOOL OF THE ARTS, SINGAPORE', 'OUTRAM SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', ""CHIJ ST. THERESA'S CONVENT"", 'BUKIT MERAH SECONDARY SCHOOL', ""CRESCENT GIRLS' SCHOOL""]",[],[]
0,3,"['SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE', ""ST. JOSEPH'S INSTITUTION"", 'SCHOOL OF THE ARTS, SINGAPORE', 'QUEENSWAY SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', ""CHIJ ST. THERESA'S CONVENT"", 'NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE', 'NAN HUA HIGH SCHOOL', ""CRESCENT GIRLS' SCHOOL"", 'QUEENSTOWN SECONDARY SCHOOL', ""NANYANG GIRLS' HIGH SCHOOL"", 'OUTRAM SECONDARY SCHOOL', 'KENT RIDGE SECONDARY SCHOOL', 'BUKIT MERAH SECONDARY SCHOOL', ""SINGAPORE CHINESE GIRLS' SCHOOL"", 'NEW TOWN SECONDARY SCHOOL', ""ST. MARGARET'S SECONDARY SCHOOL"", 'GAN ENG SENG SCHOOL', 'FAIRFIELD METHODIST SCHOOL (SECONDARY)', 'ANGLO-CHINESE SCHOOL (INDEPENDENT)', 'HWA CHONG INSTITUTION', 'NATIONAL JUNIOR COLLEGE']","['Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre)', 'Beo Crescent Market', 'Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre)', 'Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre)', 'Redhill Lane Blk 79 (Redhill Market)', 'Tiong Bahru Market', 'Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre)', 'Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre)', 'Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre)', 'Commonwealth Crescent Market', 'Tanglin Halt Market', 'Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre)', 'Dawson Hawker Centre', 'Redhill Lane Blk 85 (Redhill Food Centre)', 'Mei Chin Road Blk 159 (Mei Chin Road Market)', 'Jalan Kukoh Blk 1 (Kukoh 21 Food Centre)']","['YOUR GROCER PRIVATE LIMITED', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'HAO MART PTE. LTD.', 'SHENG SIONG SUPERMARKET PTE LTD', 'FISHOP PTE. LTD.', 'FOODIE MARKET PLACE PTE. LTD.']"
0,4,"['QUEENSTOWN SECONDARY SCHOOL', ""ST. MARGARET'S SECONDARY SCHOOL"", 'GAN ENG SENG SCHOOL', 'SCHOOL OF THE ARTS, SINGAPORE', 'FAIRFIELD METHODIST SCHOOL (SECONDARY)', 'QUEENSWAY SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (INDEPENDENT)', 'OUTRAM SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', ""SINGAPORE CHINESE GIRLS' SCHOOL"", ""CHIJ ST. THERESA'S CONVENT"", 'BUKIT MERAH SECONDARY SCHOOL', ""CRESCENT GIRLS' SCHOOL""]","['Telok Blangah Drive Blk 79 (Telok Blangah Food Centre)', 'Telok Blangah Drive Blk 82 (Telok Blangah Market)']","['NTUC FAIRPRICE CO-OPERATIVE LTD', 'THE QUALITYMART DEPOT PTE. LTD.']"
0,5,"['JURONG SECONDARY SCHOOL', 'SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE', ""METHODIST GIRLS' SCHOOL (SECONDARY)"", 'TANGLIN SECONDARY SCHOOL', 'QUEENSWAY SECONDARY SCHOOL', 'BUKIT BATOK SECONDARY SCHOOL', 'CREST SECONDARY SCHOOL', 'NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE', 'NAN HUA HIGH SCHOOL', 'QUEENSTOWN SECONDARY SCHOOL', 'HILLGROVE SECONDARY SCHOOL', ""NANYANG GIRLS' HIGH SCHOOL"", 'YUSOF ISHAK SECONDARY SCHOOL', 'KENT RIDGE SECONDARY SCHOOL', 'BUKIT VIEW SECONDARY SCHOOL', 'BUKIT MERAH SECONDARY SCHOOL', 'COMMONWEALTH SECONDARY SCHOOL', 'NEW TOWN SECONDARY SCHOOL', 'FAIRFIELD METHODIST SCHOOL (SECONDARY)', 'ANGLO-CHINESE SCHOOL (INDEPENDENT)', 'NATIONAL JUNIOR COLLEGE', 'HWA CHONG INSTITUTION', 'CLEMENTI TOWN SECONDARY SCHOOL']","['West Coast Drive Blk 503 (Ayer Rajah Food Centre)', 'Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre)', 'Clementi Ave 3 Blk 448', 'Clementi West Street 2 Blk 726', 'Pasir Panjang Food Centre', 'West Coast Drive Blk 502 (Ayer Rajah Market)']","['U STARS SUPERMARKET PTE. LTD.', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'SHENG SIONG SUPERMARKET PTE LTD', 'TANESEI TRADING PTE. LTD.', 'HONESTBEE PTE. LTD.', 'THNG SAIK MONG', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'L M MEAT PTE. LTD.']"
0,6,"['CHIJ SECONDARY (TOA PAYOH)', ""RAFFLES GIRLS' SCHOOL (SECONDARY)"", 'NORTHLIGHT SCHOOL', 'CHUNG CHENG HIGH SCHOOL (MAIN)', 'BENDEMEER SECONDARY SCHOOL', 'GUANGYANG SECONDARY SCHOOL', ""ST. JOSEPH'S INSTITUTION"", 'SCHOOL OF THE ARTS, SINGAPORE', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', 'MANJUSRI SECONDARY SCHOOL', ""CHIJ ST. THERESA'S CONVENT"", 'BEATTY SECONDARY SCHOOL', ""ST. GABRIEL'S SECONDARY SCHOOL"", ""CRESCENT GIRLS' SCHOOL"", 'QUEENSTOWN SECONDARY SCHOOL', ""TANJONG KATONG GIRLS' SCHOOL"", 'DUNMAN HIGH SCHOOL', 'GEYLANG METHODIST SCHOOL (SECONDARY)', ""ST. ANDREW'S SECONDARY SCHOOL"", 'OUTRAM SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'BUKIT MERAH SECONDARY SCHOOL', ""SINGAPORE CHINESE GIRLS' SCHOOL"", 'TANJONG KATONG SECONDARY SCHOOL', ""CEDAR GIRLS' SECONDARY SCHOOL"", 'GAN ENG SENG SCHOOL', 'BARTLEY SECONDARY SCHOOL', 'BROADRICK SECONDARY SCHOOL']",[],"['MEIDI-YA SINGAPORE CO (PTE) LTD', 'COLD STORAGE SINGAPORE (1983) PTE LTD']"
0,7,"['CHIJ SECONDARY (TOA PAYOH)', ""RAFFLES GIRLS' SCHOOL (SECONDARY)"", 'NORTHLIGHT SCHOOL', 'CHUNG CHENG HIGH SCHOOL (MAIN)', 'BENDEMEER SECONDARY SCHOOL', 'GUANGYANG SECONDARY SCHOOL', ""ST. JOSEPH'S INSTITUTION"", 'SCHOOL OF THE ARTS, SINGAPORE', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', 'MANJUSRI SECONDARY SCHOOL', ""CHIJ ST. THERESA'S CONVENT"", 'BEATTY SECONDARY SCHOOL', ""CRESCENT GIRLS' SCHOOL"", 'QUEENSTOWN SECONDARY SCHOOL', ""TANJONG KATONG GIRLS' SCHOOL"", 'DUNMAN HIGH SCHOOL', 'GEYLANG METHODIST SCHOOL (SECONDARY)', ""ST. ANDREW'S SECONDARY SCHOOL"", 'OUTRAM SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'BUKIT MERAH SECONDARY SCHOOL', ""SINGAPORE CHINESE GIRLS' SCHOOL"", 'TANJONG KATONG SECONDARY SCHOOL', ""CEDAR GIRLS' SECONDARY SCHOOL"", 'GAN ENG SENG SCHOOL', 'BARTLEY SECONDARY SCHOOL', 'BROADRICK SECONDARY SCHOOL']","['Golden Mile Food Centre', 'North Bridge Road Market', 'Queen Street Blk 270 (Albert Centre)']","['LOH NYEN YIU', 'JEWISH WELFARE BOARD, SINGAPORE, THE', 'AP HOUSE PTE. LTD.', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'AL MARCHE PTE LTD']"
0,8,"['CHIJ SECONDARY (TOA PAYOH)', ""RAFFLES GIRLS' SCHOOL (SECONDARY)"", 'NORTHLIGHT SCHOOL', 'DAMAI SECONDARY SCHOOL', 'CHUNG CHENG HIGH SCHOOL (MAIN)', 'BENDEMEER SECONDARY SCHOOL', 'CHIJ KATONG CONVENT', 'SERANGOON GARDEN SECONDARY SCHOOL', 'ZHONGHUA SECONDARY SCHOOL', 'GUANGYANG SECONDARY SCHOOL', 'MANJUSRI SECONDARY SCHOOL', 'BEATTY SECONDARY SCHOOL', ""ST. GABRIEL'S SECONDARY SCHOOL"", 'PEICAI SECONDARY SCHOOL', ""TANJONG KATONG GIRLS' SCHOOL"", 'DUNMAN HIGH SCHOOL', 'GEYLANG METHODIST SCHOOL (SECONDARY)', 'SERANGOON SECONDARY SCHOOL', 'MONTFORT SECONDARY SCHOOL', ""ST. ANDREW'S SECONDARY SCHOOL"", 'YUYING SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'CATHOLIC HIGH SCHOOL', 'KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL', 'TANJONG KATONG SECONDARY SCHOOL', 'XINMIN SECONDARY SCHOOL', ""PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)"", ""ST. PATRICK'S SCHOOL"", ""CEDAR GIRLS' SECONDARY SCHOOL"", 'DEYI SECONDARY SCHOOL', 'BARTLEY SECONDARY SCHOOL', 'HOUGANG SECONDARY SCHOOL', 'PING YI SECONDARY SCHOOL', 'RAFFLES INSTITUTION', 'BROADRICK SECONDARY SCHOOL', 'BOWEN SECONDARY SCHOOL', ""HOLY INNOCENTS' HIGH SCHOOL""]","['Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market)', 'Cambridge Road Blk 41A (Pek Kio Market and Food Centre)', 'Berseh Food Centre']","['PRIME SUPERMARKET LIMITED', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'SHENG SIONG SUPERMARKET PTE LTD', 'MUSTAFA HOLDINGS PTE LTD', 'MAHOTA FOOD PTE. LTD.', 'PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.']"
0,9,"['CHIJ SECONDARY (TOA PAYOH)', ""RAFFLES GIRLS' SCHOOL (SECONDARY)"", 'NORTHLIGHT SCHOOL', 'BENDEMEER SECONDARY SCHOOL', 'GUANGYANG SECONDARY SCHOOL', ""ST. JOSEPH'S INSTITUTION"", 'SCHOOL OF THE ARTS, SINGAPORE', 'QUEENSWAY SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', ""CHIJ ST. THERESA'S CONVENT"", 'BEATTY SECONDARY SCHOOL', ""CRESCENT GIRLS' SCHOOL"", 'QUEENSTOWN SECONDARY SCHOOL', ""NANYANG GIRLS' HIGH SCHOOL"", 'DUNMAN HIGH SCHOOL', ""ST. ANDREW'S SECONDARY SCHOOL"", 'OUTRAM SECONDARY SCHOOL', ""SINGAPORE CHINESE GIRLS' SCHOOL"", 'BUKIT MERAH SECONDARY SCHOOL', 'KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL', ""ST. MARGARET'S SECONDARY SCHOOL"", ""CEDAR GIRLS' SECONDARY SCHOOL"", 'GAN ENG SENG SCHOOL', 'RAFFLES INSTITUTION', 'HWA CHONG INSTITUTION', 'NATIONAL JUNIOR COLLEGE']",['Newton Food Centre'],"['IROHA INTERNATIONAL PTE. LTD.', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'ISETAN (SINGAPORE) LIMITED?', 'SUPERNATURE PTE LTD', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.']"
0,10,"['CHIJ SECONDARY (TOA PAYOH)', 'GREENRIDGE SECONDARY SCHOOL', ""RAFFLES GIRLS' SCHOOL (SECONDARY)"", 'DUNEARN SECONDARY SCHOOL', 'NORTHLIGHT SCHOOL', 'SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE', 'WHITLEY SECONDARY SCHOOL', 'ASSUMPTION ENGLISH SCHOOL', 'BENDEMEER SECONDARY SCHOOL', 'ASSUMPTION PATHWAY SCHOOL', 'ZHONGHUA SECONDARY SCHOOL', 'GUANGYANG SECONDARY SCHOOL', ""ST. JOSEPH'S INSTITUTION"", ""METHODIST GIRLS' SCHOOL (SECONDARY)"", 'TANGLIN SECONDARY SCHOOL', 'SCHOOL OF THE ARTS, SINGAPORE', 'QUEENSWAY SECONDARY SCHOOL', 'WEST SPRING SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', 'BUKIT BATOK SECONDARY SCHOOL', 'CREST SECONDARY SCHOOL', 'BEATTY SECONDARY SCHOOL', ""ST. GABRIEL'S SECONDARY SCHOOL"", 'NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE', 'NAN HUA HIGH SCHOOL', ""CRESCENT GIRLS' SCHOOL"", 'QUEENSTOWN SECONDARY SCHOOL', 'HILLGROVE SECONDARY SCHOOL', ""NANYANG GIRLS' HIGH SCHOOL"", 'TECK WHYE SECONDARY SCHOOL', 'YUSOF ISHAK SECONDARY SCHOOL', 'DUNMAN HIGH SCHOOL', 'GEYLANG METHODIST SCHOOL (SECONDARY)', 'ZHENGHUA SECONDARY SCHOOL', ""ST. ANDREW'S SECONDARY SCHOOL"", 'OUTRAM SECONDARY SCHOOL', 'KENT RIDGE SECONDARY SCHOOL', 'BUKIT VIEW SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'COMMONWEALTH SECONDARY SCHOOL', 'BUKIT MERAH SECONDARY SCHOOL', 'JURONGVILLE SECONDARY SCHOOL', ""SINGAPORE CHINESE GIRLS' SCHOOL"", 'CATHOLIC HIGH SCHOOL', 'KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL', 'NEW TOWN SECONDARY SCHOOL', ""ST. MARGARET'S SECONDARY SCHOOL"", 'FAJAR SECONDARY SCHOOL', ""CEDAR GIRLS' SECONDARY SCHOOL"", 'BROADRICK SECONDARY SCHOOL', 'GAN ENG SENG SCHOOL', 'FAIRFIELD METHODIST SCHOOL (SECONDARY)', 'BARTLEY SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (INDEPENDENT)', 'NATIONAL JUNIOR COLLEGE', 'SWISS COTTAGE SECONDARY SCHOOL', 'RAFFLES INSTITUTION', 'CHUA CHU KANG SECONDARY SCHOOL', 'HWA CHONG INSTITUTION', 'CLEMENTI TOWN SECONDARY SCHOOL']","['Empress Road Blk 7 (Empress Road Market and Food Centre)', 'Holland Drive Blk 44 (Holland Drive Market and Food Centre)', 'Zion Riverside Food Centre', 'Ghim Moh Road Blk 20', 'Holland Village Market and Food Centre']","['BLUEWATER SEAFOOD PTE. LTD.', 'LITTLE FARMS PTE. LTD.', ""HUBER'S PTE. LTD."", 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'MEAT THE BUTCHER PTE. LTD.', 'YEO KENG GUAN', 'SHENG SIONG SUPERMARKET PTE LTD', 'TASTE (SINGAPORE) PRIVATE LIMITED', 'CULINA PTE LTD', 'THE BUTCHER (SINGAPORE) PTE. LTD.', 'SWISS BUTCHERY PTE LTD', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'WONS BUTCHERY PTE. LTD.', 'THE FISHWIVES PTE. LTD.']"
