Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.01,0.01,0.45619556011337137
75% Corpus,3,0.01,0.31,0.43741384673729594
75% Corpus,3,0.01,0.61,0.4471410467645915
75% Corpus,3,0.01,0.9099999999999999,0.4393599514160264
75% Corpus,3,0.01,symmetric,0.428779713882139
75% Corpus,3,0.31,0.01,0.45560209755902165
75% Corpus,3,0.31,0.31,0.44268007443326574
75% Corpus,3,0.31,0.61,0.4504483268844121
75% Corpus,3,0.31,0.9099999999999999,0.4471410467645915
75% Corpus,3,0.31,symmetric,0.441548252107586
75% Corpus,3,0.61,0.01,0.4550215362263013
75% Corpus,3,0.61,0.31,0.4486380134115174
75% Corpus,3,0.61,0.61,0.4523578178443793
75% Corpus,3,0.61,0.9099999999999999,0.45556381273402047
75% Corpus,3,0.61,symmetric,0.45072428398737346
75% Corpus,3,0.9099999999999999,0.01,0.4525223608129747
75% Corpus,3,0.9099999999999999,0.31,0.4448113388639177
75% Corpus,3,0.9099999999999999,0.61,0.45072428398737346
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4399781686658614
75% Corpus,3,0.9099999999999999,symmetric,0.44903682361825464
75% Corpus,3,symmetric,0.01,0.45355768059824414
75% Corpus,3,symmetric,0.31,0.43645048544060155
75% Corpus,3,symmetric,0.61,0.4544907304312309
75% Corpus,3,symmetric,0.9099999999999999,0.43741384673729594
75% Corpus,3,symmetric,symmetric,0.4552925402052343
75% Corpus,3,asymmetric,0.01,0.43728930636029695
75% Corpus,3,asymmetric,0.31,0.46025791154572265
75% Corpus,3,asymmetric,0.61,0.401946273097524
75% Corpus,3,asymmetric,0.9099999999999999,0.3988693241522872
75% Corpus,3,asymmetric,symmetric,0.45583748204892194
75% Corpus,4,0.01,0.01,0.44377242376142334
75% Corpus,4,0.01,0.31,0.4231458606593863
75% Corpus,4,0.01,0.61,0.4422052693906531
75% Corpus,4,0.01,0.9099999999999999,0.44519466330190977
75% Corpus,4,0.01,symmetric,0.4543673407374752
75% Corpus,4,0.31,0.01,0.4514208209237258
75% Corpus,4,0.31,0.31,0.42824833707513144
75% Corpus,4,0.31,0.61,0.4414835506602587
75% Corpus,4,0.31,0.9099999999999999,0.4360762136154961
75% Corpus,4,0.31,symmetric,0.4347134458938479
75% Corpus,4,0.61,0.01,0.4560680654227502
75% Corpus,4,0.61,0.31,0.442458820044337
75% Corpus,4,0.61,0.61,0.4386309459650001
75% Corpus,4,0.61,0.9099999999999999,0.4407307174312219
75% Corpus,4,0.61,symmetric,0.43338213980190265
75% Corpus,4,0.9099999999999999,0.01,0.43882620036599773
75% Corpus,4,0.9099999999999999,0.31,0.4352370142802824
