Neighbourhood,Postal,Offence,Number
 Ang Mo Kio North ,569784,Housebreaking,4.857142857142857
 Ang Mo Kio North ,569784,Outrage Of Modesty,26.0
 Ang Mo Kio North ,569784,Robbery,2.0
 Ang Mo Kio North ,569784,Snatch Theft,2.7142857142857144
 Ang Mo Kio North ,569784,Theft Of Motor Vehicle,5.0
 Ang Mo Kio South ,569929,Housebreaking,4.0
 Ang Mo Kio South ,569929,Outrage Of Modesty,25.571428571428573
 Ang Mo Kio South ,569929,Robbery,3.4285714285714284
 Ang Mo Kio South ,569929,Snatch Theft,3.857142857142857
 Ang Mo Kio South ,569929,Theft Of Motor Vehicle,6.428571428571429
 Bedok North ,469676,Housebreaking,10.571428571428571
 Bedok North ,469676,Outrage Of Modesty,40.714285714285715
 Bedok North ,469676,Robbery,6.142857142857143
 Bedok North ,469676,Snatch Theft,4.428571428571429
 Bedok North ,469676,Theft Of Motor Vehicle,15.857142857142858
 Bedok South ,469045,Housebreaking,12.428571428571429
 Bedok South ,469045,Outrage Of Modesty,26.285714285714285
 Bedok South ,469045,Robbery,2.5714285714285716
 Bedok South ,469045,Snatch Theft,4.142857142857143
 Bedok South ,469045,Theft Of Motor Vehicle,6.857142857142857
 Bishan ,579757,Housebreaking,7.142857142857143
 Bishan ,579757,Outrage Of Modesty,24.571428571428573
 Bishan ,579757,Robbery,2.5714285714285716
 Bishan ,579757,Snatch Theft,1.2857142857142858
 Bishan ,579757,Theft Of Motor Vehicle,3.2857142857142856
 Bukit Batok ,659840,Housebreaking,7.571428571428571
 Bukit Batok ,659840,Outrage Of Modesty,38.285714285714285
 Bukit Batok ,659840,Robbery,2.5714285714285716
 Bukit Batok ,659840,Snatch Theft,3.5714285714285716
 Bukit Batok ,659840,Theft Of Motor Vehicle,5.142857142857143
 Bukit Merah East ,088762,Housebreaking,9.428571428571429
 Bukit Merah East ,088762,Outrage Of Modesty,58.714285714285715
 Bukit Merah East ,088762,Robbery,4.428571428571429
 Bukit Merah East ,088762,Snatch Theft,7.0
 Bukit Merah East ,088762,Theft Of Motor Vehicle,7.0
 Bukit Merah West ,159682,Housebreaking,10.571428571428571
 Bukit Merah West ,159682,Outrage Of Modesty,41.142857142857146
 Bukit Merah West ,159682,Robbery,4.142857142857143
 Bukit Merah West ,159682,Snatch Theft,3.0
 Bukit Merah West ,159682,Theft Of Motor Vehicle,9.857142857142858
 Bukit Panjang ,679005,Housebreaking,7.714285714285714
 Bukit Panjang ,679005,Outrage Of Modesty,26.857142857142858
 Bukit Panjang ,679005,Robbery,2.0
 Bukit Panjang ,679005,Snatch Theft,2.857142857142857
 Bukit Panjang ,679005,Theft Of Motor Vehicle,4.857142857142857
 Bukit Timah ,268914,Housebreaking,7.857142857142857
 Bukit Timah ,268914,Outrage Of Modesty,22.285714285714285
 Bukit Timah ,268914,Robbery,1.5714285714285714
 Bukit Timah ,268914,Snatch Theft,1.5714285714285714
 Bukit Timah ,268914,Theft Of Motor Vehicle,2.142857142857143
 Changi ,529914,Housebreaking,5.571428571428571
 Changi ,529914,Outrage Of Modesty,28.714285714285715
 Changi ,529914,Robbery,2.0
 Changi ,529914,Snatch Theft,2.142857142857143
 Changi ,529914,Theft Of Motor Vehicle,7.0
 Choa Chu Kang ,689286,Housebreaking,8.285714285714286
 Choa Chu Kang ,689286,Outrage Of Modesty,41.42857142857143
 Choa Chu Kang ,689286,Robbery,3.857142857142857
 Choa Chu Kang ,689286,Snatch Theft,3.4285714285714284
 Choa Chu Kang ,689286,Theft Of Motor Vehicle,11.0
 Clementi ,149725,Housebreaking,10.571428571428571
 Clementi ,149725,Outrage Of Modesty,33.285714285714285
 Clementi ,149725,Robbery,3.2857142857142856
 Clementi ,149725,Snatch Theft,3.2857142857142856
 Clementi ,149725,Theft Of Motor Vehicle,5.714285714285714
 Geylang ,401094,Housebreaking,28.0
 Geylang ,401094,Outrage Of Modesty,66.85714285714286
 Geylang ,401094,Robbery,29.0
 Geylang ,401094,Snatch Theft,17.714285714285715
 Geylang ,401094,Theft Of Motor Vehicle,26.142857142857142
 Hougang ,538775,Housebreaking,11.0
 Hougang ,538775,Outrage Of Modesty,43.42857142857143
