Year,NPC,Offence,Number (Case),Neighbourhood,Postal,Number
2012,Central Police Division - Total,Robbery,34,[Total]Central Police Division - Total,-,34
2012,Central Police Division - Total,Housebreaking,32,[Total]Central Police Division - Total,-,32
2012,Central Police Division - Total,Snatch Theft,31,[Total]Central Police Division - Total,-,31
2012,Central Police Division - Total,Theft Of Motor Vehicle,47,[Total]Central Police Division - Total,-,47
2012,Central Police Division - Total,Outrage Of Modesty,193,[Total]Central Police Division - Total,-,193
2012,Central Police Division - Bukit Merah East NPC,Robbery,8, Bukit Merah East ,088762,8
2012,Central Police Division - Bukit Merah East NPC,Housebreaking,9, Bukit Merah East ,088762,9
2012,Central Police Division - Bukit Merah East NPC,Snatch Theft,7, Bukit Merah East ,088762,7
2012,Central Police Division - Bukit Merah East NPC,Theft Of Motor Vehicle,12, Bukit Merah East ,088762,12
2012,Central Police Division - Bukit Merah East NPC,Outrage Of Modesty,48, Bukit Merah East ,088762,48
2012,Central Police Division - Marina Bay NPC,Robbery,8, Marina Bay ,078870,8
2012,Central Police Division - Marina Bay NPC,Housebreaking,6, Marina Bay ,078870,6
2012,Central Police Division - Marina Bay NPC,Snatch Theft,3, Marina Bay ,078870,3
2012,Central Police Division - Marina Bay NPC,Theft Of Motor Vehicle,4, Marina Bay ,078870,4
2012,Central Police Division - Marina Bay NPC,Outrage Of Modesty,85, Marina Bay ,078870,85
2012,Central Police Division - Rochor NPC,Robbery,18, Rochor ,208678,18
2012,Central Police Division - Rochor NPC,Housebreaking,17, Rochor ,208678,17
2012,Central Police Division - Rochor NPC,Snatch Theft,21, Rochor ,208678,21
2012,Central Police Division - Rochor NPC,Theft Of Motor Vehicle,31, Rochor ,208678,31
2012,Central Police Division - Rochor NPC,Outrage Of Modesty,60, Rochor ,208678,60
2012,Clementi Police Division - Total,Robbery,24,[Total]Clementi Police Division - Total,-,24
2012,Clementi Police Division - Total,Housebreaking,92,[Total]Clementi Police Division - Total,-,92
2012,Clementi Police Division - Total,Snatch Theft,27,[Total]Clementi Police Division - Total,-,27
2012,Clementi Police Division - Total,Theft Of Motor Vehicle,60,[Total]Clementi Police Division - Total,-,60
2012,Clementi Police Division - Total,Outrage Of Modesty,143,[Total]Clementi Police Division - Total,-,143
2012,Clementi Police Division - Bukit Merah West NPC,Robbery,6, Bukit Merah West ,159682,6
2012,Clementi Police Division - Bukit Merah West NPC,Housebreaking,25, Bukit Merah West ,159682,25
2012,Clementi Police Division - Bukit Merah West NPC,Snatch Theft,6, Bukit Merah West ,159682,6
2012,Clementi Police Division - Bukit Merah West NPC,Theft Of Motor Vehicle,25, Bukit Merah West ,159682,25
2012,Clementi Police Division - Bukit Merah West NPC,Outrage Of Modesty,43, Bukit Merah West ,159682,43
2012,Clementi Police Division - Clementi NPC,Robbery,5, Clementi ,149725,5
2012,Clementi Police Division - Clementi NPC,Housebreaking,19, Clementi ,149725,19
2012,Clementi Police Division - Clementi NPC,Snatch Theft,7, Clementi ,149725,7
2012,Clementi Police Division - Clementi NPC,Theft Of Motor Vehicle,16, Clementi ,149725,16
2012,Clementi Police Division - Clementi NPC,Outrage Of Modesty,34, Clementi ,149725,34
2012,Clementi Police Division - Jurong East NPC,Robbery,9, Jurong East ,609962,9
2012,Clementi Police Division - Jurong East NPC,Housebreaking,12, Jurong East ,609962,12
2012,Clementi Police Division - Jurong East NPC,Snatch Theft,4, Jurong East ,609962,4
2012,Clementi Police Division - Jurong East NPC,Theft Of Motor Vehicle,8, Jurong East ,609962,8
2012,Clementi Police Division - Jurong East NPC,Outrage Of Modesty,34, Jurong East ,609962,34
2012,Clementi Police Division - Queenstown NPC,Robbery,4, Queenstown ,149725,4
2012,Clementi Police Division - Queenstown NPC,Housebreaking,36, Queenstown ,149725,36
2012,Clementi Police Division - Queenstown NPC,Snatch Theft,10, Queenstown ,149725,10
2012,Clementi Police Division - Queenstown NPC,Theft Of Motor Vehicle,11, Queenstown ,149725,11
2012,Clementi Police Division - Queenstown NPC,Outrage Of Modesty,32, Queenstown ,149725,32
2012,Tanglin Police Division - Total,Robbery,36,[Total]Tanglin Police Division - Total,-,36
2012,Tanglin Police Division - Total,Housebreaking,56,[Total]Tanglin Police Division - Total,-,56
2012,Tanglin Police Division - Total,Snatch Theft,33,[Total]Tanglin Police Division - Total,-,33
2012,Tanglin Police Division - Total,Theft Of Motor Vehicle,39,[Total]Tanglin Police Division - Total,-,39
2012,Tanglin Police Division - Total,Outrage Of Modesty,242,[Total]Tanglin Police Division - Total,-,242
2012,Tanglin Police Division - Bishan NPC,Robbery,1, Bishan ,579757,1
2012,Tanglin Police Division - Bishan NPC,Housebreaking,16, Bishan ,579757,16
2012,Tanglin Police Division - Bishan NPC,Snatch Theft,0, Bishan ,579757,0
2012,Tanglin Police Division - Bishan NPC,Theft Of Motor Vehicle,4, Bishan ,579757,4
2012,Tanglin Police Division - Bishan NPC,Outrage Of Modesty,22, Bishan ,579757,22
2012,Tanglin Police Division - Bukit Timah NPC,Robbery,2, Bukit Timah ,268914,2
2012,Tanglin Police Division - Bukit Timah NPC,Housebreaking,11, Bukit Timah ,268914,11
2012,Tanglin Police Division - Bukit Timah NPC,Snatch Theft,5, Bukit Timah ,268914,5
2012,Tanglin Police Division - Bukit Timah NPC,Theft Of Motor Vehicle,2, Bukit Timah ,268914,2
2012,Tanglin Police Division - Bukit Timah NPC,Outrage Of Modesty,28, Bukit Timah ,268914,28
2012,Tanglin Police Division - Kampong Java NPC,Robbery,6, Kampong Java ,228892,6
2012,Tanglin Police Division - Kampong Java NPC,Housebreaking,9, Kampong Java ,228892,9
2012,Tanglin Police Division - Kampong Java NPC,Snatch Theft,3, Kampong Java ,228892,3
2012,Tanglin Police Division - Kampong Java NPC,Theft Of Motor Vehicle,17, Kampong Java ,228892,17
2012,Tanglin Police Division - Kampong Java NPC,Outrage Of Modesty,30, Kampong Java ,228892,30
2012,Tanglin Police Division - Orchard NPC,Robbery,15, Orchard ,239572,15
2012,Tanglin Police Division - Orchard NPC,Housebreaking,10, Orchard ,239572,10
2012,Tanglin Police Division - Orchard NPC,Snatch Theft,10, Orchard ,239572,10
2012,Tanglin Police Division - Orchard NPC,Theft Of Motor Vehicle,2, Orchard ,239572,2
2012,Tanglin Police Division - Orchard NPC,Outrage Of Modesty,125, Orchard ,239572,125
2012,Tanglin Police Division - Toa Payoh NPC,Robbery,12, Toa Payoh ,319194,12
2012,Tanglin Police Division - Toa Payoh NPC,Housebreaking,10, Toa Payoh ,319194,10
2012,Tanglin Police Division - Toa Payoh NPC,Snatch Theft,15, Toa Payoh ,319194,15
2012,Tanglin Police Division - Toa Payoh NPC,Theft Of Motor Vehicle,14, Toa Payoh ,319194,14
2012,Tanglin Police Division - Toa Payoh NPC,Outrage Of Modesty,37, Toa Payoh ,319194,37
2012,Ang Mo Kio Police Division - Total,Robbery,46,[Total]Ang Mo Kio Police Division - Total,-,46
2012,Ang Mo Kio Police Division - Total,Housebreaking,121,[Total]Ang Mo Kio Police Division - Total,-,121
2012,Ang Mo Kio Police Division - Total,Snatch Theft,39,[Total]Ang Mo Kio Police Division - Total,-,39
2012,Ang Mo Kio Police Division - Total,Theft Of Motor Vehicle,140,[Total]Ang Mo Kio Police Division - Total,-,140
2012,Ang Mo Kio Police Division - Total,Outrage Of Modesty,234,[Total]Ang Mo Kio Police Division - Total,-,234
2012,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Robbery,5, Ang Mo Kio North ,569784,5
2012,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Housebreaking,12, Ang Mo Kio North ,569784,12
2012,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Snatch Theft,3, Ang Mo Kio North ,569784,3
2012,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Theft Of Motor Vehicle,13, Ang Mo Kio North ,569784,13
2012,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Outrage Of Modesty,28, Ang Mo Kio North ,569784,28
2012,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Robbery,9, Ang Mo Kio South ,569929,9
2012,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Housebreaking,7, Ang Mo Kio South ,569929,7
2012,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Snatch Theft,10, Ang Mo Kio South ,569929,10
2012,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Theft Of Motor Vehicle,21, Ang Mo Kio South ,569929,21
2012,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Outrage Of Modesty,24, Ang Mo Kio South ,569929,24
2012,Ang Mo Kio Police Division - Hougang NPC,Robbery,11, Hougang ,538775,11
2012,Ang Mo Kio Police Division - Hougang NPC,Housebreaking,23, Hougang ,538775,23
